City,Country,Lat,Lng,Temp,Date,Humidity,Max Temp,Wind Speed,Cloudiness
Port Elizabeth,ZA,-33.92,25.57,64.4,1587245863,93,64.4,2.24,0
Ulaangom,MN,49.98,92.07,33.35,1587246248,50,33.35,1.81,0
Udachny,RU,66.42,112.4,8.6,1587246248,50,8.6,4.47,0
Lebu,CL,-37.62,-73.65,61.65,1587246056,72,61.65,5.7,34
Saint Paul Harbor,US,57.79,-152.41,46.4,1587246057,75,46.4,12.75,1
Lavrentiya,RU,65.58,-171.0,18.59,1587246249,95,18.59,9.57,100
Butaritari,KI,3.07,172.79,83.21,1587246250,77,83.21,15.82,76
Rikitea,PF,-23.12,-134.97,77.09,1587246250,73,77.09,7.54,18
Margate,GB,51.38,1.39,47.75,1587246250,92,48.0,12.28,15
Dingle,PH,11.0,122.67,78.66,1587246251,82,78.66,9.37,2
Port Alfred,ZA,-33.59,26.89,63.0,1587246251,94,63.0,4.0,0
Rutland,US,43.62,-73.02,43.38,1587246252,41,44.01,9.17,90
Līsakovsk,KZ,52.54,62.49,46.85,1587246252,77,46.85,11.1,82
Mataura,NZ,-46.19,168.86,43.3,1587246252,89,43.3,4.52,100
Vestmanna,FO,62.16,-7.17,42.8,1587246252,81,42.8,11.41,0
Zhangjiakou,CN,40.81,114.88,48.9,1587246253,51,48.9,3.89,100
Busselton,AU,-33.65,115.33,60.66,1587246121,72,63.0,24.92,100
Castro,BR,-24.79,-50.01,61.27,1587246253,58,61.27,3.71,43
Río Gallegos,AR,-51.62,-69.22,59.0,1587246253,30,59.0,21.92,87
Mossamedes,AO,-15.2,12.15,74.34,1587246254,71,74.34,4.61,78
Diego de Almagro,CL,-26.37,-70.05,77.32,1587246254,21,77.32,8.37,0
Ushuaia,AR,-54.8,-68.3,50.0,1587246034,69,50.0,8.05,75
Hithadhoo,MV,-0.6,73.08,83.77,1587246027,75,83.77,11.65,99
Saint-Philippe,RE,-21.36,55.77,69.33,1587246063,78,75.2,9.17,10
Punta Arenas,CL,-53.15,-70.92,53.38,1587246255,46,53.6,19.46,40
Faya,SA,18.39,42.45,63.5,1587246085,72,64.4,10.29,88
Ancud,CL,-41.87,-73.82,55.4,1587246256,93,55.4,12.75,90
Puerto Ayora,EC,-0.74,-90.35,83.5,1587246256,70,86.0,11.41,75
Airai,TL,-8.93,125.41,59.76,1587246257,56,59.76,2.86,44
Kasempa,ZM,-13.46,25.83,62.89,1587246257,65,62.89,5.64,43
Iqaluit,CA,63.75,-68.51,6.39,1587246257,60,6.8,4.7,20
Kalabo,ZM,-14.97,22.68,69.91,1587246258,53,69.91,4.88,93
Poum,NC,-20.23,164.02,78.22,1587246035,77,78.22,14.2,74
Loa Janan,ID,-0.58,117.09,75.88,1587246259,94,75.88,1.57,100
Dalby,AU,-27.18,151.27,57.81,1587246259,93,59.0,4.7,40
Neyshabur,IR,36.21,58.8,55.17,1587246259,38,55.17,5.35,57
Hermanus,ZA,-34.42,19.23,64.0,1587246251,54,64.0,1.01,69
Chara,RU,56.91,118.26,10.63,1587246261,76,10.63,6.8,100
Atuona,PF,-9.8,-139.03,82.47,1587246262,79,82.47,18.37,89
Itararé,BR,-24.11,-49.33,66.0,1587246263,91,66.0,4.0,32
Tiksi,RU,71.69,128.87,3.87,1587246263,85,3.87,4.38,55
Tuktoyaktuk,CA,69.45,-133.04,8.6,1587245985,84,8.6,6.93,75
Thompson,CA,55.74,-97.86,15.8,1587246264,47,15.8,16.11,20
Duvan,RU,55.7,57.9,32.99,1587246264,81,32.99,6.82,27
Tasiilaq,GL,65.61,-37.64,33.8,1587246264,80,33.8,14.99,100
Kutoarjo,ID,-7.72,109.91,78.64,1587246264,79,78.64,4.23,97
Bluff,NZ,-46.6,168.33,45.9,1587246142,85,45.9,7.43,100
Vaini,TO,-21.2,-175.2,78.8,1587246265,78,78.8,11.41,75
Mar del Plata,AR,-38.0,-57.56,71.82,1587246088,56,72.0,6.93,1
Sorong,ID,-0.88,131.25,76.8,1587246266,87,76.8,0.22,52
Hirara,JP,24.8,125.28,74.17,1587246142,87,74.17,16.73,100
Kavaratti,IN,10.57,72.64,84.13,1587246266,71,84.13,4.56,1
Alofi,NU,-19.06,-169.92,80.6,1587246266,88,80.6,9.17,32
Hobart,AU,-42.88,147.33,44.46,1587246018,87,46.0,8.05,75
Karabulak,RU,43.3,44.9,40.8,1587246266,86,44.6,4.47,100
Parral,MX,26.93,-105.67,83.7,1587246267,8,83.7,27.58,65
Albany,US,42.6,-73.97,46.0,1587246267,67,46.0,1.99,93
Grand Gaube,MU,-20.01,57.66,77.65,1587246267,88,78.01,14.99,40
Berlevåg,NO,70.86,29.09,35.73,1587246267,83,35.73,15.43,95
Baoning,CN,25.34,110.03,68.0,1587246267,100,68.0,2.24,75
Havre-St-Pierre,CA,50.23,-63.6,35.6,1587246268,55,35.6,9.17,1
Hong Kong,HK,22.29,114.16,71.98,1587246231,83,75.0,3.0,33
Bredasdorp,ZA,-34.53,20.04,53.6,1587246268,93,53.6,4.7,46
Zabid,YE,14.2,43.32,88.38,1587246269,57,88.38,9.22,77
Roebourne,AU,-20.78,117.13,82.44,1587246270,57,82.44,7.85,100
Springbok,ZA,-29.66,17.89,55.17,1587246270,39,55.17,2.1,56
Kruisfontein,ZA,-34.0,24.73,65.19,1587246270,43,65.19,6.08,0
New Norfolk,AU,-42.78,147.06,42.89,1587245983,87,44.01,2.44,60
Cherskiy,RU,68.75,161.3,2.01,1587246271,87,2.01,6.58,42
Sioux Lookout,CA,50.1,-91.92,38.88,1587246091,51,39.2,10.29,90
Jamestown,US,42.1,-79.24,44.17,1587246272,45,46.0,16.11,40
Odesa,UA,46.48,30.73,46.4,1587246201,49,46.4,5.99,15
Yellowknife,CA,62.46,-114.35,23.27,1587246273,85,24.01,13.87,90
Chāndbāli,IN,20.78,86.77,80.26,1587246273,86,80.26,10.45,0
Bambous Virieux,MU,-20.34,57.76,77.49,1587246273,88,78.01,14.99,40
Pisco,PE,-13.7,-76.22,74.68,1587246273,64,75.2,16.11,21
